Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Jésus, mon Roi	Jésus, mon Roi		R/ Jésus, mon Roi ! Jésus, ma joie ! Jésus, tu es là, viens à moi !	1. Cœur plein d’amour et plein de douceur, Cœur plein de paix et plein de tendresse, Cœur se penchant sur notre misère, Pour nous offrir sur la croix à notre Père.	2. Cœur bienveillant et plein de bonté, Cœur pur et fort, plein de charité, Cœur embrassant toutes nos douleurs, Pour les offrir sur la croix à notre Père.	3. Cœur glorieux et cœur plein de feu, Cœur d’où jaillit la source de vie, Cœur amoureux nous ouvrant le ciel, Pour nous offrir dans la gloire à notre Père.			
Jésus, toi qui as promis	Jésus, toi qui as promis	1. Jésus, Toi qui a promis d’envoyer l’Esprit à ceux qui te prient,	R/ Ô Dieu, pour porter au monde ton feu, voici l’offrande de nos vies		2. Jésus, Toi qui accomplis le Don de l’Esprit, en donnant ta vie,	3. Jésus, Toi qui multiplies les fruits de l’Esprit, jusqu’à l’infini,			
Jour du vivant	Jour du vivant			1. Jour du Vivant, pour notre terre! Alléluia, Alléluia! (bis) Le fruit que Dieu bénit, mûrit en lumière: soleil déchirant la nuit! Alléluia, Alléluia, Alléluia, Alléluia!	2. Jour du Vivant, sur notre histoire! Alléluia, Alléluia! (bis) Le corps hier meurtri, rayonne sa gloire: l'amour a brisé la mort! Alléluia, Alléluia, Alléluia, Alléluia!	3. Jour du Vivant, sur tout exode! Alléluia, Alléluia! (bis) De l'eau et de l'Esprit renaissent les hommes: chacun porte un nom nouveau. Alléluia, Alléluia, Alléluia, Alléluia!	4. Jour du Vivant, si loin si proche! Alléluia, Alléluia! (bis) Le vin nous est servi, prémices des noces: la joie du royaume vient! Alléluia, Alléluia, Alléluia, Alléluia!   5. Jour du Vivant, offert au souffle! Alléluia, Alléluia! (bis) Le feu soudain a pris, créant mille sources: le monde rend grâce à Dieu! Alléluia, Alléluia, Alléluia, Alléluia!		
Joyeuse lumière	Joyeuse lumière		R/ JOYEUSE LUMIÈRE, SPLENDEUR ÉTERNELLE DU PÈRE, SAINT ET BIENHEUREUX JÉSUS-CHRIST !	1. Venant au coucher du soleil, contemplant la lumière du soir, Nous chantons le Père et le Fils, et le Saint Esprit de Dieu.	2. Digne es-Tu en tout temps d’être loué, par de saintes voix, Fils de Dieu qui donnas la vie, et le monde Te glorifie.	3. Nous te chantons ressuscité, Toi qui surgis des ténèbres du tombeau, Étoile du matin, qui devances l’aurore, dont l’éclat resplendit jusqu’au monde nouveau.	4. Reste avec nous, Seigneur, car déjà le jour baisse, Illumine nos yeux, au soir de cette Pâque, Toi la lumière qui ne connaît pas de couchant. 5. En célébrant ainsi ta gloire, nous chantons l’Amour du Père, Dans la Lumière de l’Esprit, sceau brûlant qui vous unit. 6. Que ma prière vers Toi, Seigneur, s’élève comme l’encens, Et mes mains devant Toi, comme l’offrande du soir.		
Joyeux anniversaire									
Jubilez criez de joie	Jubilez criez de joie		R/ Jubilez, criez de joie! Acclamez le Dieu trois fois Saint Venez le prier dans la paix, témoigner de son amour Jubilez, criez de joie pour Dieu, notre Dieu	1. Louez le Dieu de lumière. Il nous arrache aux ténèbres Devenez en sa clarté Des enfants de la lumière	2. Ouvrez-vous, ouvrez vos coeurs Au Dieu de miséricorde				
 Laissez-vous réconcilier, Laissez-vous transfigurer									
 Demeurez en son Amour Il vous comblera de Lui									
Jubilez, chantez	Jubilez, chantez		R/ Jubilez, chantez, familiers du Seigneur, Ses fidèles et bons serviteurs. Habitez dans la maison du Père, entrez dans sa joie ! Bienheureux les invités de Dieu, vos noms sont dans les cieux.	1. Entonnez vos hymnes de fête, et que votre joie soit parfaite. Dites à ceux qui craignent : « Voyez, proche est son règne ! » R/	2. Dans son temple, une eau purifiante, source vive, en vous jaillissante, Comme un fleuve immense, ruisselle l’abondance. R/	3. Écoutez et prêtez l’oreille, entendez sa voix, ses merveilles, Comme une onde pure, s’écoule un doux murmure. R/			
L'amour a fait les premiers pas	L'amour a fait les premiers pas			1. L´amour a fait les premiers pas, L'amour a préparé la noce. Les invités ne viennent pas. L'amour a fait les premiers pas. Les places vides sont offertes A ceux que l´on n'attendait pas, L'amour a fait les premiers pas. Il nous adresse la parole, Il nous invite à son repas, L'amour a fait les premiers pas, L'amour a fait les premiers pas.	2. L'amour a pris la liberté De négliger les convenances. Il s´est chargé de l'étranger. L'amour a pris la liberté. Il laisse les brebis fidèles Pour celle qui s'est égarée. L'amour a pris la liberté. Il attendait l´enfant prodigue. Il nous invite à le fêter. L´amour a pris la liberté, L´amour a pris la liberté.	3. L'amour efface le passé. Aucun n´osa jeter la pierre. Et tous les yeux se sont baissés. L´amour efface le passé. Il a vu l'homme dans sa lèpre. Il n´a pas peur de l'embrasser. L'amour efface le passé. Il nous redonne une autre chance, Il nous invite à pardonner. L´amour efface le passé, L´amour efface le passé.			
L'amour jamais ne passera	L'amour jamais ne passera		R/ L'amour jamais ne passera, L'amour demeurera, L'amour, l'amour seul, La charité jamais ne passera, Car Dieu est amour.	1. Quand j’aurais le don de la science, Et connaîtrais tous les mystères, Parlerais-je les langues des anges, Sans amour, je ne suis rien.	2. Si je donnais mes biens en aumône, Si je livrais mon corps aux flammes. Si ma foi déplaçait les montagnes, Sans amour, je ne suis rien.	3. La charité est toujours longanime, Ne tient pas compte du mal. La charité se donne sans cesse, Ne cherche pas son avantage.	4. La charité ne jalouse personne, La charité jamais ne s’irrite. En tout temps elle excuse et espère, La charité supporte tout.  5. Un jour, les langues vont se taire, Les prophéties disparaîtront, Devant Dieu le Seigneur notre maître, Seul l’amour restera.		
L'Esprit de Dieu repose sur moi	L'Esprit de Dieu repose sur moi		R/ L'ESPRIT DE DIEU REPOSE SUR MOI, L'ESPRIT DE DIEU M'A CONSACRE, L'ESPRIT DE DIEU M'A ENVOYE PROCLAMER LA PAIX, LA JOIE.	1. L'Esprit de Dieu m'a choisi Pour étendre le Règne du Christ parmi les nations, Pour proclamer la Bonne Nouvelle à ses Pauvres. J'exulte de joie en Dieu, mon Sauveur !	2. L'Esprit de Dieu m'a choisi Pour étendre le Règne du Christ parmi les nations, Pour consoler les coeurs accablés de souffrance. J'exulte de joie en Dieu, mon Sauveur ! 	3. L'Esprit de Dieu m'a choisi Pour étendre le Règne du Christ parmi les nations, Pour accueillir le Pauvre qui pleure et qui peine ; J'exulte de joie en Dieu, mon Sauveur !	4. L'Esprit de Dieu m'a choisi Pour étendre le Règne du Christ parmi les nations, Pour annoncer la grâce de la délivrance. J'exulte de joie en Dieu, mon Sauveur ! 5. L'Esprit de Dieu m'a choisi Pour étendre le Règne du Christ parmi les nations, Pour célébrer sa gloire parmi tous les peuples, J'exulte de joie en Dieu, mon Sauveur !		L'esprit de Dieu repose sur moi
La nuit qu’il fut livré									
La paix, elle aura ton visage - Bernard Rey	La paix, elle aura ton visage		R/ La paix, elle aura ton visage, la paix, elle aura tous les âges,  La paix sera toi, sera moi, sera nous,  et la paix sera chacun de nous.	Agneau de Dieu, qui enlève le péché du monde, prends pitié de nous Agneau de Dieu, qui enlève le péché du monde, prends pitié de nous Agneau de Dieu, qui enlève le péché du monde, donne-nous la paix. R/					et la paix sera chacun de nous
La première en chemin	La première en chemin, Marie			"1. La première en chemin, Marie tu nous entraînes A risquer notre ""oui"" aux imprévus de Dieu. Et voici qu'est semé en argile incertaine De notre humanité Jésus-Christ, Fils de Dieu. MARCHE AVEC NOUS, MARIE, SUR NOS CHEMINS DE FOI, ILS SONT CHEMINS VERS DIEU, ILS SONT CHEMINS VERS DIEU."	2. La première en chemin, en hâte tu t'élances, Prophète de Celui qui a pris corps en toi. La parole a surgi, tu es sa résonance Et tu franchis des monts pour en porter la voix. MARCHE AVEC NOUS, MARIE, AUX CHEMINS DE L'ANNONCE, ILS SONT CHEMINS VERS DIEU, ILS SONT CHEMINS VERS DIEU.	3. La première en chemin pour suivre au Golgotha Le Fils de ton amour que tous ont condamné, Tu te tiens là, debout, au plus près de la croix Pour recueillir la vie de son coeur transpercé. MARCHE AVEC NOUS, MARIE, SUR NOS CHEMINS DE CROIX ILS SONT CHEMINS VERS DIEU, ILS SONT CHEMINS VERS DIEU.	4. La première en chemin avec l'Eglise en marche Dès les commencements, tu appelles l'Esprit ! En ce monde aujourd'hui, assure notre marche ; Que grandisse le corps de ton Fils Jésus-Christ ! MARCHE AVEC NOUS, MARIE, AUX CHEMINS DE CE MONDE ILS SONT CHEMINS VERS DIEU, ILS SONT CHEMINS VERS DIEU.		
La Sagesse a bati sa maison	La Sagesse a bati sa maison	La sagesse a bâti sa maison, elle a dressé sa table et mélangé son vin ; elle appelle ses enfants :	R/Venez, mangez de mon pain, et boire le vin, que j’ai préparé pour vous.		1. Ils viendront du levant et du couchant et prendront place à table, au festin du royaume 2. Tu nous offres le pain qui vient du ciel, ton corps est la semence, d’allégresse éternelle. 3. Pain vivant que le Père nous donne, pour célébrer la Pâque, de l’alliance nouvelle. 4. Vin joyeux qui délivre nos âmes de toutes nos tristesses, Sang du Christ tu nous sauves.				
La sagesse a dressé une table	La sagesse a dressé une table		R/ La sagesse a dressé une table						
 Elle invite les hommes au festin									
 Venez au banquet du fils de l'homme									
 Mangez et buvez la Pâque de Dieu									
 Sa louange sans cesse à mes lèvres									
 En Dieu mon âme trouve sa gloire									
 Que les pauvres m'entendent et soient en fête									
 Pour effacer de la terre leur souvenir									
 Mais ses yeux regardent ceux qui l'aiment									
 Il tend l'oreille vers ceux qui l'appellent									
 De la détresse, il les a délivrés									
 Il est proche de ceux qui ont le cœur brisé									
 Il vient sauver ceux dont la vie est déchirée									
Laisserons-nous à notre table	Laisserons-nous à notre table		R/ Ne laissons pas mourir la terre, Ne laissons pas mourir le feu. Tendons nos mains vers la lumière, Pour accueillir le don de Dieu, Pour accueillir le don de Dieu.	1. Laisserons-nous à notre table Un peu de place à l'étranger, Trouvera-t-il quand il viendra Un peu de pain et d'amitié ?	2. Laisserons-nous à nos paroles Un peu de temps à l'étranger, Trouvera-t-il quand il viendra Un cœur ouvert pour l'écouter ?	3. Laisserons-nous à notre fête Un pas de danse à l'étranger, Trouvera-t-il quand il viendra Des mains tendues pour l'inviter ?	4. Laisserons-nous à nos fontaines Un peu d'eau vive à l'étranger, Trouvera-t-il quand il viendra Des hommes libres et assoiffés 5. Laisserons-nous à nos églises Un peu d´espace à l´étranger ? Trouvera-t-il quand il viendra Des cœurs de pauvres et d´affamés ?		
Laudate Dominum (Taizé Chant)	Laudate Dominum		R/ Laudate Dominum, Laudate Dominum, Omnes gentes, Alleluia ! Laudate Dominum, Laudate Dominum, Omnes gentes, Alleluia !						
Le Christ est vivant	Le Christ est vivant			1. Le Christ est vivant ! Alléluia ! Il est parmi nous ! Alléluia ! Béni soit son nom dans tout l’univers ! Alléluia ! Alléluia !	2. C’est lui notre joie ! Alléluia ! C’est lui notre espoir ! Alléluia ! C’est lui notre pain, c’est lui notre vie, Alléluia ! Alléluia !	3. Soyons dans la joie ! Alléluia ! Louons le Seigneur ! Alléluia ! Il nous a aimés, il nous a sauvés, Alléluia ! Alléluia !	4. Le Christ est vivant ! Alléluia ! Allons proclamer, Alléluia ! La Bonne Nouvelle à toute nation, Alléluia ! Alléluia !  5. Le Christ était mort ! Alléluia ! Le Christ est vivant ! Alléluia ! Le Christ est présent, le Christ reviendra, Alléluia ! Alléluia !  6. Louange au Seigneur ! Alléluia ! Au Père très bon, Alléluia ! Au Christ, à l’Esprit, aux siècles sans fin ! Alléluia ! Alléluia !		
Le Seigneur est ma lumière	Le Seigneur est ma lumière		R/ Le Seigneur est ma lumière et mon salut, De qui aurais-je crainte ? Le Seigneur est le rempart de ma vie, Devant qui tremblerais-je ?	1. J’ai demandé une chose au Seigneur, La seule que je cherche, Habiter la maison du Seigneur, Tous les jours de ma vie. R/	2. Habiter ta maison, Seigneur, Pour t’admirer en ta beauté. Et m’attacher à ton Église, Seigneur, M’attacher à ton Église, Seigneur. R/	3. J’en suis sûr, je verrai les bontés du Seigneur, Sur la terre des vivants. Espère, sois fort et prends courage, Espère, espère le Seigneur ! R/			
Le seigneur nous a aimé (comme on a jamais aimé)	Le Seigneur nous a aimés	1. Le Seigneur nous a aimés comme on n´a jamais aimé. Il nous guide chaque jour comme une étoile dans la nuit. Quand nous partageons le pain, il nous donne son amour : C´est le pain de l´amitié, le pain de Dieu.	R/ C´est mon corps : prenez et mangez. C´est mon sang : prenez et buvez. Car je suis la vie et je suis l´amour. Ô Seigneur, emporte-nous dans ton amour !		2. Le Seigneur nous a aimés comme on n´a jamais aimé. Un enfant nous est donné dans cette nuit de Bethléem. Les bergers l´ont reconnu et les Mages sont venus : Ils ont vu le Fils de Dieu petit enfant.	3. Le Seigneur nous a aimés comme on n´a jamais aimé. Pour les gens de son village, c´est le fils du charpentier. Il travaille de ses mains comme font tous ses amis : Il connaît le dur labeur de chaque jour.	4. Le Seigneur nous a aimés comme on n´a jamais aimé. Au hasard de ses rencontres par les villes et les cités Il révèle son amour et nous parle de son Père Et chacun retrouve espoir en l´écoutant. 5. Le Seigneur nous a aimés comme on n´a jamais aimé. Son Amour était si grand qu´il en mourut sur une croix. Son Amour était si fort qu´il triompha de la mort. Il sortit de son tombeau libre et vainqueur. 6. Le Seigneur nous a aimés comme on n´a jamais aimé. Il rassemble tous les hommes et les fait vivre de sa vie Et tous les chrétiens du monde sont les membres de son Corps. Rien ne peut les séparer de son Amour.		
Le Seigneur vient, préparez lui le chemin (Jean-Baptiste)	Jean-Baptiste (Celui qui prépare la route)		R/ Le Seigneur vient. (bis) Préparez-lui le chemin. Le Seigneur vient. (bis) Préparez-lui le chemin.	1. Abaissez les collines Et comblez les ravins Déplacez les rochers Qui ferment vos chemins.	2. qui as deux manteaux, toi qui es fortuné Voici venu le temps d’apprendre à partager.	3. Vous qui avez des armes, soldats et policiers, Voici venu le temps de rétablir la paix.	4. Toi qui as le savoir, toi qui es diplômé, C’est pour servir les autres et non les dominer. 5. Spécialistes orgueilleux, vedettes à succès, Vous êtes un arbre mort qui va être coupé. 6. Quittez votre péché, il faut vous convertir, Il faut changer vos coeurs: le Seigneur va venir.		
les anges dans nos campagnes	Les anges dans nos campagnes			1. Les anges dans nos campagnes Ont entonné l’hymne des cieux, Et l’écho de nos montagnes Redit ce chant mélodieux : Gloria in excelsis Deo (Bis)	2. Il est né, le Roi céleste, le Dieu Très-Haut, le seul Sauveur. En lui Dieu se manifeste pour nous donner le vrai bonheur. Gloria in excelsis Deo (Bis)	3. Il apporte à notre monde la paix, ce bien si précieux. Qu’aujourd’hui nos cœurs répondent pour accueillir le don de Dieu. Gloria in excelsis Deo (Bis)	4.Bergers, pour qui cette fête ? Quel est l’objet de tous ces chants ? Quel vainqueur, quelle conquête Mérite ces cris triomphants : Gloria…  5.Ils annoncent la naissance Du libérateur d’Israël Et pleins de reconnaissance Chantent en ce jour solennel : Gloria …  7.Cherchons tous l’heureux village Qui l’a vu naître sous ses toits Offrons-lui le tendre hommage Et de nos cœurs et de nos voix : Gloria …		
Les mains ouvertes	Les mains ouvertes		R/ LES MAINS OUVERTES DEVANT TOI, SEIGNEUR, POUR T’OFFRIR LE MONDE, LES MAINS OUVERTES DEVANT TOI, SEIGNEUR, NOTRE JOIE EST PROFONDE.	1. Garde-nous tout-petits devant ta face, Simples et purs comme un ruisseau. Garde-nous tout-petits devant nos frères Et disponibles comme une eau.	2. Garde-nous tout-petits devant ta face, brûlants d´amour et pleins de joie. Garde-nous tout-petits parmi nos frères, Simples chemins devant leurs pas !	3. Garde-nous tout petits devant Ta Face, Comme la Vierge immaculée ! Garde-nous transparents à tous nos frères, De l'amour qui l'a consumée.			
Levons les yeux	Levons les yeux		R/ Levons les yeux, voici la vraie lumière, Voici le Christ qui nous donne la paix ! Ouvrons nos cœurs à sa miséricorde, Notre Sauveur est au milieu de nous !						
Litanie des saints congolaise	Litanie des Saints congolaise		REFRAIN 1 O, tous les Saints priez pour nous ! O, tous les Saints priez pour nous ! O, O, O !  O Seigneur prends pitié O Christ prends pitié  Sainte Marie, Mère de Dieu Et Joseph, son époux Joachim et Anne Jean-Baptiste le précurseur  Abraham et Moïse Élie et tous les prophètes Et tous nos pères  Témoins de Dieu  Pierre, Paul et André, Jacques et Jean, Thomas et Philippe, Apôtres du Seigneur  Marc, Luc et Matthieu, Marie-Madeleine, Étienne et Barnabé Témoins de la Résurrection,  Ignace d'Antioche et Laurent Perpétue et Félicité, Agnès et Blandine, Martyrs de tous les temps  Irénée et Athanase Ambroise et Augustin Léon et Grégoire, Gardiens de l'unité  Basile de Césarée, Jean Chrysostome, Cyrille et Méthode, Séraphin de Sarov,  Benoît et Martin, Antoine et Bruno, Bernard de Clairvaux, Et tous les moines chercheurs de Dieu,  François et Dominique, Antoine de Padoue, Bonaventure, Thomas d'Aquin  Claire d'Assise Catherine de Sienne Brigitte de Suède, Toutes les consacrées au Seigneur  Ignace de Loyola François Xavier, apôtre de l'Asie François de Sales, et Jeanne de Chantal  Thérèse d'Avila, et Saint Jean de la Croix. Thérèse-de Lisieux, Thérèse-Bénédicte de la Croix,  Vincent de Paul, Bernadette de Lourdes, François-Régis Thérèse Couderc  Jean-Marie Vianney Maximilien Kolbe Jean Bosco  Et Antoine Chevrier  Michel et tous les archanges Devant la face du Seigneur Et tous les saints du Royaume Dans la lumière éternelle   REFRAIN 2 O Seigneur délivre–nous (O Seigneur délivre nous!)  Seigneur délivre–nous De tout mal, de tout péché De la mort éternelle Nous qui sommes pécheurs  Par Ton incarnation Par Ta mort et Ta résurrection Par le don de l'Esprit Saint Par le don de Ton corps  REFRAIN 3 O Seigneur, écoute-nous (O Seigneur écoute nous!)  Seigneur, écoute-nous Daigne garder Ton Église Dans la sainteté A Ton Service  Mets entre les peuples Une paix sincère Daigne nous affermir Comme serviteurs de l'unité  Et ceux que Tu appelles Daigne les bénir Daigne les sanctifier Et les consacrer  O Fils du Dieu vivant ! O Jésus Fils de l'Homme ! O Christ écoute nous ! O Christ exauce-nous !						
Litanies des saints. Gelineau									
Louange à toi, ô Christ	Louange à toi, ô Christ		R/ Louange à toi, ô Christ, Berger de ton Église, Joyeuse et vraie lumière, Tu nous donnes la vie !	1. Toi, l’étoile dans la nuit, Tu rayonnes avec le Père. Par toi, nous avons la vie, Nous voyons la vraie lumière !	2. Que nos chants te glorifient, Qu’ils embrasent notre terre ! Fils de Dieu, tu t’es fait chair Pour nous mener vers le Père !	3. Envoie sur nous ton Esprit, Fais briller sur nous ta face ! Ô Jésus ressuscité, Que nos chants te rendent grâce !	4. Ta splendeur nous a sauvés Des ténèbres éternelles. Donne-nous de proclamer Tes prodiges, tes merveilles !  5. Sois la source de la vie, Sois la rosée de nos âmes ! Que se lève pour chanter Ton Église bienheureuse !		
Louange et gloire à ton nom	Louange et gloire à ton nom	1. Louange et gloire à ton nom, Alléluia, alléluia Seigneur Dieu de l´univers, Alléluia, alléluia !	R/ Gloire à Dieu, gloire à Dieu, Au plus haut des cieux ! (bis)		2. Venez chantons notre Dieu, Alléluia, alléluia, C´est lui notre créateur, Alléluia, alléluia !	3. Pour nous il fit des merveilles, Alléluia, alléluia, Éternel est son amour, Alléluia, alléluia !	4. Je veux chanter pour mon Dieu, Alléluia, alléluia, Tous les jours de ma vie, Alléluia, alléluia !		
Louez Dieu, tous les peuples !	Louez Dieu, tous les peuples !	Soliste : Louez Dieu, tous les peuples ! Tous : Louez Dieu, tous les peuples ! Soliste : Chantez sa grande gloire ! Tous : Chantez sa grande gloire ! Soliste : Oui notre Dieu nous aime ; Son amour est fidèle ! R/	R/ Alléluia ! (x4) 		1. Chantez le Seigneur par des hymnes, Car il a fait des merveilles, Chantez le Seigneur terre entière.	2. Il a révélé sa justice, Il a montré sa victoire Aux peuples de toute la terre.	3. Il s’est rappelé sa Promesse ; Il a montré sa tendresse Envers les enfants de son peuple.  4. Que toute la terre l’acclame ! Qu’elle proclame sa gloire ! Que tout l’univers soit en fête !		Louez Dieu, tous les peuples
Lumière des hommes	Lumière des hommes 		R/ Lumière des hommes ! Nous marchons vers toi. Fils de Dieu ! Tu nous sauveras.	1. Ceux qui te cherchent, Seigneur, Tu les conduis vers la lumière, Toi, la route des égarés.	2. Ceux qui te trouvent, Seigneur, Tu leur promets vie éternelle, Toi, la Pâque des baptisés.	3. Ceux qui te suivent, Seigneur, Tu les nourris de ta parole, Toi, le pain de tes invités.			
Lumière du Christ ! Nous rendons grâce à Dieu ! AELF									
Lumière sur mes pas	Lumière sur mes pas		R/Lumière sur mes pas, lumière en qui je crois, Jésus, fils de Dieu !	1. Si je veux te suivre,					
 Jésus, le Serviteur,									
 S’il me faut descendre									
 Par des sentiers de peur,									
 Comment, Seigneur, ne pas trembler ?									
 Relève-moi, je marcherai !									
 Relève-moi, je marcherai !									
 Malgré mon peu de foi,									
 S’il me faut tout perdre									
 Pour découvrir ta joie,									
 Comment choisir de tout donner ?									
 Libère-moi, j’avancerai !									
 Libère-moi, j’avancerai !									
 Au soir de l’agonie,									
 S’il me faut combattre									
 Le Prince de la nuit,									
 Comment lutter jusqu’à la mort ?									
 Soutiens mon bras, Jésus, Dieu fort !									
 Soutiens mon bras, Jésus, Dieu fort !									
Magnificat de Taizé (canon)	Magnificat de Taizé		Magnificat, Magnificat, Magnificat anima mea Dominum. Magnificat, Magnificat, Magnificat anima mea.						
Marie, douce lumière	Marie, douce lumière	Bénie sois-tu, Marie, Ton visage rayonne de l’Esprit. Sa lumière repose sur toi, Tu restes ferme dans la foi.	R/ Marie, douce lumière, Porte du ciel, temple de l’Esprit, Guide-nous vers Jésus et vers le Père, Mère des pauvres et des tout petits.		Bénie sois-tu, Marie, en ton sein, Tu portes Jésus Christ Le créateur de tout l’univers, Le Dieu du ciel et de la terre.	Bénie sois-tu, Marie, La grâce de Dieu t’a envahie, En toi, le Christ est déjà Sauveur, De tout péché il est vainqueur.	Bénie sois-tu, Marie, Dans tes mains qui sans cesse supplient, Tu portes la douleur du péché, Le corps de Jésus déchiré.  Bénie sois-tu, Marie, Toi, l’icône de l’Eglise qui prie, Pour l’éternité avec tous les saints, Les anges te chantent sans fin.		Guide-nous vers Jésus et vers le Père, Mère des pauvres et des tout petits.
Messe - Trois fois Saint le Seigneur - Santus	Sanctus Trois fois Saint le Seigneur	1. Trois fois Saint le Seigneur, Dieu de l´univers ! Trois fois Saint le Seigneur, le fils de David ! Trois fois Saint le Seigneur qui vient nous sauver ! Il est notre salut, il est notre vie, il est la lumière ! (bis)	R/ Ciel et terre passeront, ses paroles ne passeront pas. (bis) Non, non, non, non, non, ne passeront pas. (bis)		2. Béni soit celui qui vient au nom du Seigneur ! Le ciel et la terre sont remplis de sa gloire ! Hosanna ! Hosanna ! Au plus haut des cieux ! Il est notre salut, il est notre vie, il est la lumière ! (bis)				
"Messe ""Petite Messe"" - Agneau de Dieu"	"Messe ""Petite Messe"""			1. Agneau de Dieu, tu as ouvert le livre, Tu es venu sécher nos larmes, Tu donnes sens à notre vie ! Agneau de Dieu, qui enlève les péchés du monde, Prends pitié de nous	2. Agneau de Dieu, tu rassembles les peuples, Comme les grains sur les collines Viennent se fondre au même pain ! Agneau de Dieu, qui enlève les péchés du monde, Prends pitié de nous	3. Agneau de Dieu, tu nous as rendus libres Et tu nous as donné la vie  Pour mieux nous dire ton amour ! Agneau de Dieu, qui enlève le péché du monde, Donne-nous la paix			
"Messe ""Petite Messe"" - Gloire à Dieu"	"Messe ""Petite Messe"""		R/ GLOIRE A DIEU, PAIX AUX HOMMES, JOIE DU CIEL SUR LA TERRE ! (bis)	1/ Pour tes merveilles, Seigneur Dieu, ton peuple te rend grâce : Ami des hommes sois béni pour ton règne qui vient ! A toi, les chants de fête par ton fils bien aimé, dans l'Esprit.	2/ Sauveur du monde Jésus Christ, écoute nos prières ; Agneau de Dieu, vainqueur du mal, sauve-nous du péché ! Dieu saint, splendeur du Père, Dieu vivant, le Très-Haut, le Seigneur.				2nde fois de : GLOIRE A DIEU PAIX AUX HOMMES JOIE DU CIEL SUR LA TERRE !
"Messe ""Petite Messe"" - Saint le Seigneur"	"Messe ""Petite Messe"""		R/ Hosanna, hosanna, hosanna au plus haut des Cieux (bis)	Saint, saint, saint le Seigneur Dieu de l’univers. Le ciel et la terre sont remplis de ta gloire.	Béni soit celui qui vient au nom du Seigneur !				2nde fois de : Hosanna, hosanna, hosanna au plus haut des Cieux
"Messe ""Petite Messe"" - Seigneur, prends pitié"	"Messe ""Petite Messe"""			Seigneur, prends pitié de nous (ter) Ô Christ, prends pitié de nous (ter) Seigneur, prends pitié de nous (ter)					
"Messe ""Polyphonie pour un avenir"" - Gloire à Dieu - Patrick Richard"	Messe Polyphonie pour un avenir		R/ GLOIRE À DIEU, AU PLUS HAUT DES CIEUX, ET PAIX SUR LA TERRE AUX HOMMES QU'IL AIME! GLOIRE À DIEU, AU PLUS HAUT DES CIEUX, GLOIRE, GLOIRE, GLOIRE À DIEU !	1. Nous te louons, nous te bénissons, Nous t'adorons, nous te glorifions, Et nous te rendons grâce, Pour ton immense gloire.	2. Seigneur Dieu le Père tout-puissant, Seigneur, Fils unique, Jésus Christ, Seigneur, Agneau de Dieu Le Fils du Père.  4.Car toi seul es Saint et Seigneur, Toi seul es le Très-Haut : Jésus Christ, Avec le Saint Esprit Dans la gloire du Père.	3. Toi qui enlèves tous les péchés, Sauve-nous du mal, prends pitié, Assis auprès du Père, Écoute nos prières.			
"Messe ""Que Tes Œuvres sont belles"" - Agneau de Dieu, Agneau vainqueur"	Messe Que Tes Œuvres sont belles		R/ Agneau de Dieu, Agneau vainqueur, Prends pitié de nous, pécheurs ! Agneau de Dieu, Agneau vainqueur, Prends pitié de nous, pécheurs !	1. Heureux qui lave son vêtement dans le sang de l'Agneau : Il aura droit aux fruits de l'arbre de la vie !	2. Heureux qui lave son vêtement dans le sang de l'Agneau : Il franchira les portes de la cité de Dieu !	3. Heureux qui lave son vêtement dans le sang de l'Agneau : Gratuitement il boira l'eau de la vie !			
"Messe ""Que Tes Œuvres sont belles"" Homme au milieu des hommes"	Messe Que Tes Œuvres sont belles			1. Tu sais de quoi nous sommes pétris, Tu te souviens que nous sommes poussière, Jésus, homme au milieu des hommes, Prends pitié de tout homme pécheur (ter).	2. Tu n’agis pas selon nos péchés, Ne nous rends pas en pesant nos offenses, Jésus, homme au milieu des hommes, Prends pitié de tout homme pécheur (ter).	3. Et comme est loin couchant du levant, Tu mets au loin le fardeau de nos fautes, Jésus, homme au milieu des hommes, Prends pitié de tout homme pécheur (ter).			
Messe d'Emmaüs - Kyrié	Messe d'Emmaüs			SEIGNEUR, PRENDS PITIÉ, PRENDS PITIÉ DE NOUS. Ô CHRIST, PRENDS PITIÉ, PRENDS PITIÉ DE NOUS. SEIGNEUR, PRENDS PITIÉ, PRENDS PITIÉ DE NOUS.					
Messe de l'Alliance - Alleluia	Messe de l'Alliance		ALLELUIA, ALLELUIA, ALLELUIA, ALLELUIA, ALLELUIA, ALLELUIA.						
Messe de l'Alliance - Dans ton amour, pitié pour moi	Dans ton amour, pitié pour moi	1. Dans ton amour pitié pour moi, Je suis un homme au coeur blessé. Fais-moi connaître mon péché, Dieu de ma joie ! (bis)	R/ DIEU PLUS GRAND QUE NOTRE COEUR, KYRIE ELEISON! DIEU PLUS GRAND QUE NOTRE COEUR, KYRIE, ELEISON!		2. Dans ton amour tu viens à moi, Jésus mon frère au sang versé. Toi seul pourras me pardonner, Dieu de ma joie ! (bis)	3. Par ton amour entraîne-moi, Sous ton soleil je revivrai. Inonde-moi de ta clarté, Dieu de ma joie ! (bis)			
