Titre	Titre	Couplet avant le 1er refrain	Refrain	Couplets 1 si après le R/	Couplets 2	Couplet 3	Couplets 4+	Intro instrumentale	Intro Paul
Ave Maria de Lourdes	Ave Maria de Lourdes			1. Ô Vierge Marie Le peuple chrétien À Lourdes vous prie Chez vous il revient. Ave, ave, ave Maria. (bis)	2. Le fond de la roche S'éclaire à l'instant La Dame s'approche Fait signe à l'enfant. Ave, ave, ave Maria. (bis)	3. « Venez, je vous prie Ici, quinze fois Avec vos amies Entendre ma voix ». Ave, ave, ave Maria. (bis)	4. Avec insistance La Dame, trois fois A dit : « Pénitence ». Chrétien, c¹est pour toi ! Ave, ave, ave Maria. (bis)  À cette fontaine Venez et buvez Dans l¹eau pure et sainte Allez vous laver. Ave, ave, ave Maria. (bis)  « Je veux qu'ici même Au pied de ces monts Le peuple que j'aime Vienne en procession. Ave, ave, ave Maria. (bis)  Et qu'une chapelle Bâtie en ce lieu Aux hommes rappelle Qu'il faut prier Dieu ». Ave, ave, ave Maria. (bis)  Marie est venue Chez nous dix-huit fois L'enfant qui l'a vue Est digne de foi. Ave, ave, ave Maria. (bis)  La grotte où l'on prie Dispense la paix C'est là que Marie Répand ses bienfaits. Ave, ave, ave Maria. (bis)  Aux grâces nouvelles Sachons obéir Car Dieu nous appelle À nous convertir. Ave, ave, ave Maria. (bis)  Le Dieu qui pardonne Absout le pécheur La grâce rayonne Au nom du Sauveur. Ave, ave, ave Maria. (bis)  À l'heure dernière Pour nous, les pécheurs Veuillez, Sainte Mère, Prier le Sauveur. Ave, ave, ave Maria. (bis)		Ô Vierge Marie, Le peuple chrétien
Avec toi, nous irons au désert	Avec toi, nous irons au désert			1. Seigneur, avec toi nous irons au désert, Poussés comme toi par l'Esprit. Seigneur, avec toi nous irons au désert, poussés comme toi par l'Esprit. Et nous mangerons la parole de Dieu, et nous choisirons notre Dieu. Et nous fêterons notre Pâque au désert : Nous vivrons le désert avec toi !	2. Seigneur, nous irons au désert pour guérir, poussés comme toi par l'Esprit. Seigneur, nous irons au désert pour guérir, Poussés comme toi par l'Esprit. Et tu ôteras de nos coeurs le péché, et tu guériras notre mal. Et nous fêterons notre Pâque au désert : Ô Vivant qui engendre la vie !	3. Seigneur, nous irons au désert pour prier, Poussés comme toi par l'Esprit. Seigneur, nous irons au désert pour prier, Poussés comme toi par l'Esprit. Et nous goûterons le silence de Dieu, Et nous renaîtrons dans la joie. Et nous fêterons notre Pâque au désert : Nous irons dans la force de Dieu !	4. Seigneur, nous irons au désert vers la croix, Poussés comme toi par l'Esprit. Seigneur, nous irons au désert vers la croix, Poussés comme toi par l'Esprit. Et nous te suivrons au désert pas à pas, et nous porterons notre croix Et nous fêterons notre Pâque au désert : Nous vivrons la folie de la Croix !		
C'est toi ma lampe, Seigneur	C'est toi ma lampe, Seigneur		R/ C’est toi ma lampe, Seigneur. Mon Dieu éclaire ma ténèbre. Seigneur, mon Dieu, éclaire ma ténèbre. (bis)	1. Jésus dit : Je suis la lumière du monde. Qui me suit ne marchera pas dans les ténèbres mais aura la lumière de la vie.	2. Toi qui dors, éveille-toi lève-toi d’entre les morts et le Christ t’illuminera.	3. Nous ne sommes pas de la nuit, nous ne sommes pas des ténèbres, nous sommes des enfants de la lumière, nous sommes des enfants du Jour.			
C'est toi Seigneur le Pain rompu	C'est toi Seigneur le Pain rompu		R/ C'est toi Seigneur le Pain rompu, Livré pour notre vie. C'est toi, Seigneur, notre unité, Jésus ressuscité.	1. Jésus, la nuit qu´il fut livré, rompit le pain et dit : Prenez, mangez : voici mon corps, livré pour l´univers.	2. Jésus, la nuit qu´il fut livré, montra le vin et dit : Prenez, buvez : voici mon sang, versé pour l´univers.	3. Je donnerai gratuitement à ceux qui m´ont cherché, Et tous les pauvres mangeront, parole du Seigneur.	4. “Je suis le pain qui donne vie : qui croit en moi, vivra ; Et je le ressusciterai, au jour de mon retour.” 5. “Je suis venu pour vous sauver et non pour vous juger : C’est notre Père qui m’envoie pour vous donner la vie.” 6. Nous partageons un même pain, dans une même foi, Et nous formons un même corps : l’Église de Jésus. 7. C’est maintenant le temps de Dieu : il faut nous préparer. C’est maintenant le temps de Dieu : il faut changer nos cœurs. 8. “Avant d’aller vers mon autel, regarde ton prochain : Pardonne et réconcilie-toi, puis viens dans ma maison.” 9. Si nous souffrons en Jésus Christ, en lui nous régnerons. Si nous mourons en Jésus Christ, en lui nous revivrons. 		
Céleste Jérusalem	Céleste Jérusalem		R/ Notre cité se trouve dans les cieux, Nous verrons l’Epouse de l’Agneau, Resplendissante de la gloire de Dieu, Céleste Jérusalem!	1. L’Agneau deviendra notre flambeau, Nous nous passerons du soleil, Il n’y aura plus jamais de nuit, Dieu répandra sur nous sa lumière.	2. Dieu aura sa demeure avec nous, Il essuiera les larmes de nos yeux, Il n’y aura plus de pleurs ni de peines Car l’ancien monde s’en est allé.	3. Et maintenant, voici le salut, Le règne et la puissance de Dieu, Soyez donc dans la joie vous les Cieux, Il règnera sans fin dans les siècles.			
Change ton regard et la vie jaillira	Change ton regard et la vie jaillira		R/Change ton regard et la vie jaillira !						
 Change ton regard et la vie jaillira !									
 Il cherche la beauté pour s'en émerveiller !									
 Change ton regard et la vie jaillira !									
 Il cherche les blessés pour être leur salut !									
